Province,Date,Sex,Age,Cumulative number of people (Vaccinedose1)
Nunavut,2021-02-06,All sexes,80+,96
Nunavut,2021-02-06,f,80+,55
Nunavut,2021-02-06,m,80+,41
Nunavut,2021-02-06,Unknown,80+,0
Nunavut,2021-02-06,Not reported,80+,0
Canada,2021-02-13,All sexes,80+,126629
Canada,2021-02-13,f,80+,88490
Canada,2021-02-13,m,80+,38118
Canada,2021-02-13,Unknown,80+,21
Canada,2021-02-13,Not reported,80+,0
Newfoundland and Labrador,2021-02-13,All sexes,80+,1352
Newfoundland and Labrador,2021-02-13,f,80+,916
Newfoundland and Labrador,2021-02-13,m,80+,435
Newfoundland and Labrador,2021-02-13,Unknown,80+,1
Newfoundland and Labrador,2021-02-13,Not reported,80+,0
Prince Edward Island,2021-02-13,All sexes,80+,1398
Prince Edward Island,2021-02-13,f,80+,987
Prince Edward Island,2021-02-13,m,80+,411
Prince Edward Island,2021-02-13,Unknown,80+,0
Prince Edward Island,2021-02-13,Not reported,80+,0
Nova Scotia,2021-02-13,All sexes,80+,1524
Nova Scotia,2021-02-13,f,80+,1182
Nova Scotia,2021-02-13,m,80+,342
Nova Scotia,2021-02-13,Unknown,80+,0
Nova Scotia,2021-02-13,Not reported,80+,0
New Brunswick,2021-02-13,All sexes,80+,2001
New Brunswick,2021-02-13,f,80+,1403
New Brunswick,2021-02-13,m,80+,598
New Brunswick,2021-02-13,Unknown,80+,0
New Brunswick,2021-02-13,Not reported,80+,0
Quebec,2021-02-13,All sexes,80+,54175
Quebec,2021-02-13,f,80+,38019
Quebec,2021-02-13,m,80+,16137
Quebec,2021-02-13,Unknown,80+,19
Quebec,2021-02-13,Not reported,80+,0
Ontario,2021-02-13,All sexes,80+,0
Ontario,2021-02-13,f,80+,0
Ontario,2021-02-13,m,80+,0
Ontario,2021-02-13,Unknown,80+,0
Ontario,2021-02-13,Not reported,80+,0
Manitoba,2021-02-13,All sexes,80+,6720
Manitoba,2021-02-13,f,80+,4749
Manitoba,2021-02-13,m,80+,1971
Manitoba,2021-02-13,Unknown,80+,0
Manitoba,2021-02-13,Not reported,80+,0
Saskatchewan,2021-02-13,All sexes,80+,8111
Saskatchewan,2021-02-13,f,80+,5427
Saskatchewan,2021-02-13,m,80+,2684
Saskatchewan,2021-02-13,Unknown,80+,0
Saskatchewan,2021-02-13,Not reported,80+,0
Alberta,2021-02-13,All sexes,80+,21034
Alberta,2021-02-13,f,80+,14938
Alberta,2021-02-13,m,80+,6096
Alberta,2021-02-13,Unknown,80+,0
Alberta,2021-02-13,Not reported,80+,0
British Columbia,2021-02-13,All sexes,80+,29012
British Columbia,2021-02-13,f,80+,20175
British Columbia,2021-02-13,m,80+,8836
British Columbia,2021-02-13,Unknown,80+,1
British Columbia,2021-02-13,Not reported,80+,0
Yukon,2021-02-13,All sexes,80+,711
Yukon,2021-02-13,f,80+,374
Yukon,2021-02-13,m,80+,337
Yukon,2021-02-13,Unknown,80+,0
Yukon,2021-02-13,Not reported,80+,0
Northwest Territories,2021-02-13,All sexes,80+,487
Northwest Territories,2021-02-13,f,80+,260
Northwest Territories,2021-02-13,m,80+,227
Northwest Territories,2021-02-13,Unknown,80+,0
Northwest Territories,2021-02-13,Not reported,80+,0
Nunavut,2021-02-13,All sexes,80+,104
Nunavut,2021-02-13,f,80+,60
Nunavut,2021-02-13,m,80+,44
Nunavut,2021-02-13,Unknown,80+,0
Nunavut,2021-02-13,Not reported,80+,0
Canada,2021-02-20,All sexes,80+,234927
Canada,2021-02-20,f,80+,165703
Canada,2021-02-20,m,80+,68448
Canada,2021-02-20,Unknown,80+,776
Canada,2021-02-20,Not reported,80+,0
Newfoundland and Labrador,2021-02-20,All sexes,80+,1577
Newfoundland and Labrador,2021-02-20,f,80+,1069
Newfoundland and Labrador,2021-02-20,m,80+,507
Newfoundland and Labrador,2021-02-20,Unknown,80+,1
Newfoundland and Labrador,2021-02-20,Not reported,80+,0
Prince Edward Island,2021-02-20,All sexes,80+,1435
Prince Edward Island,2021-02-20,f,80+,1011
Prince Edward Island,2021-02-20,m,80+,424
Prince Edward Island,2021-02-20,Unknown,80+,0
Prince Edward Island,2021-02-20,Not reported,80+,0
Nova Scotia,2021-02-20,All sexes,80+,1524
Nova Scotia,2021-02-20,f,80+,1182
Nova Scotia,2021-02-20,m,80+,342
Nova Scotia,2021-02-20,Unknown,80+,0
Nova Scotia,2021-02-20,Not reported,80+,0
New Brunswick,2021-02-20,All sexes,80+,2497
New Brunswick,2021-02-20,f,80+,1761
New Brunswick,2021-02-20,m,80+,736
New Brunswick,2021-02-20,Unknown,80+,0
New Brunswick,2021-02-20,Not reported,80+,0
Quebec,2021-02-20,All sexes,80+,77553
Quebec,2021-02-20,f,80+,54388
Quebec,2021-02-20,m,80+,23154
Quebec,2021-02-20,Unknown,80+,11
Quebec,2021-02-20,Not reported,80+,0
Ontario,2021-02-20,All sexes,80+,80451
Ontario,2021-02-20,f,80+,57846
Ontario,2021-02-20,m,80+,21842
Ontario,2021-02-20,Unknown,80+,763
Ontario,2021-02-20,Not reported,80+,0
Manitoba,2021-02-20,All sexes,80+,6902
Manitoba,2021-02-20,f,80+,4876
Manitoba,2021-02-20,m,80+,2026
Manitoba,2021-02-20,Unknown,80+,0
Manitoba,2021-02-20,Not reported,80+,0
Saskatchewan,2021-02-20,All sexes,80+,9667
